image_path,prob_synthetic,pred_label
test_gen/488c64e2-b912-45c2-8007-451590d2f4d1_task_01jrdqh23rft09gw8hy2sy7r34.webp,0.9828,1
test_gen/gen_01jqagk71jf26a2kx6wvsqrf7y_task_01jqagee48ft1rjjgkg13hv0b4.webp,0.9202,1
test_gen/gen_01jqbjg6y5e2kvyerywch21z4q_task_01jqbja4fffqfaye8d12p7rtjj.webp,0.9955,1
test_gen/gen_01jqcwmcsnec5rxrf87cv8751a_task_01jqcvzdcpf0gtrj1fvpnwadts.webp,0.0023,0
test_gen/gen_01jqcx2ajgea1vm0cybc9znq2q_task_01jqcwg9a6ffm9v9c0bhr98hyk.webp,0.9895,1
test_gen/gen_01jqcxp1t3e5h8z0znbehvjxkz_task_01jqcx35g1fwavb0pbwwy9g9qr.webp,0.9977,1
test_gen/gen_01jqebgjdeeg8ty8jy1wzj85ej_task_01jqebd9v5e92rx8wmnjnrk5bm.webp,0.9554,1
test_gen/gen_01jqf3m8e4f29szcvaqgk2mnrb_task_01jqf38h3sey8vcrdtsmkpryq7.webp,0.0304,0
test_gen/gen_01jqh0n2t7e7dbts8tr9fptnkv_task_01jqh0h3n5es6tk46trepdcf4m.webp,1.0000,1
test_gen/gen_01jqjkgs32f6zrhvh1xmhnesb1_task_01jqjkczwrejvs6bz6h5jhefby.webp,0.5239,1
test_gen/gen_01jqke0w07fam99hbqy04shr21_task_01jqkdvvkcev1taz5jtaqftfwz.webp,0.5592,1
test_gen/gen_01jqkh00hgfngadwcb33vnjn9t_task_01jqkgvpf1e0c9bham91s1cj72.webp,0.9018,1
test_gen/gen_01jqn1enxteehszptxpy1x2k3f_task_01jqn1atkkfm2a11rysn3p8yda.webp,0.0006,0
test_gen/gen_01jqn6ehzreedat9aytr7zsdwb_task_01jqn6brwaevnaray5816zg73h.webp,0.0112,0
test_gen/gen_01jqp2c5t9ezc8jpdhyxq37c61_task_01jqp26836e3wac2044hrjkjb2.webp,0.8072,1
test_gen/gen_01jqp2ddmqe8s8ybfjhdeejfr3_task_01jqp29vhdfv38mz5f8ds2tr6v.webp,1.0000,1
test_gen/gen_01jqpaq2wee23b8d93xvtps5hf_task_01jqpak7geep9tzpkpfw0f45tp.webp,0.1012,0
test_gen/gen_01jqqgksqze0drtqk67fajez90_task_01jqqghpzpe0evdp7kzcg7s13f.webp,0.9999,1
test_gen/gen_01jqqt0bzwe7va13149h8zb04q_task_01jqqsxdz3erz9pk0m41bwad95.webp,0.9997,1
test_gen/gen_01jqradatnfyt8ja94wv0r56wb_task_01jqra9vdcf57t4vttstegkkbj.webp,0.9936,1
test_gen/gen_01jqrp422sere889ya0n4hhh96_task_01jqrp0mfwenx91wv0y6fb7961.webp,0.9991,1
test_gen/gen_01jqrxcp96edbrgsk36q739qtr_task_01jqrx9acgfad8fsrxmdg7515s.webp,0.9964,1
test_gen/gen_01jqs59h22e4atpddptz1fpw8k_task_01jqs546z2e0zrtaw2wpbd1wqx.webp,0.0964,0
test_gen/gen_01jqsmk93getabtcef23q32fe9_task_01jqsmj6bhfqtavjza0q4b41e2.webp,0.9815,1
test_gen/gen_01jqt3d4sde5ftty857550r9hw_task_01jqt3701qfvmars8psscfdn0z.webp,0.7775,1
test_gen/gen_01jqt4ybdzez29m2kz38dqvjkf_task_01jqt4x37ceqhr41c9v4a8fp9d.webp,0.9947,1
test_gen/gen_01jqt63dwcefabacagsfnr2knd_task_01jqt6255meq4shaxrgwcfhs8g.webp,0.0258,0
test_gen/gen_01jqtfqx5te05axsz73gn760q2_task_01jqtfnca8fbdag98zrvhtge3y.webp,0.7769,1
test_gen/gen_01jqvapgzfe6yve3wec5zbbn7f_task_01jqvafhvhfvj95zvgk1z77j33.webp,0.9151,1
test_gen/gen_01jqvkwmqae55sv7n3mknv8nvs_task_01jqvksbf1fer8ndmq6cdfbwgk.webp,1.0000,1
test_gen/gen_01jqw0h4gwfc8v11q1b56xf1x9_task_01jqw0ejkpeg3s4aaqtzvzzept.webp,0.9558,1
test_gen/gen_01jqw4825sem4t77q8brh4ckak_task_01jqw448e8esb8r3dza49tyj8c.webp,0.8515,1
test_gen/gen_01jqw546pjeybvsq2wf230j8p1_task_01jqw522djfjvt6h7k2d51aceg.webp,0.0101,0
test_gen/gen_01jqwtvmkjfytage4txz8wrd8x_task_01jqwtrsbqfzybttqs1zczkcy3.webp,0.9842,1
test_gen/gen_01jqx4wx7xej4vshp0gctr8hv5_task_01jqx4v4qafb2ttjxjgs4j9tey.webp,0.9927,1
test_gen/gen_01jqxr854ve2ssp4jf6t4zqtgx_task_01jqxr6x48eyyaendn17anqeqp.webp,0.9942,1
test_gen/gen_01jqyt3vd3ehtvc38rdm50g6d6_task_01jqyt0gjfe0c8dxk2n941w6hm.webp,0.7746,1
test_gen/gen_01jqz1s6mye4kskb4expfm4eqq_task_01jqz1p330eqvtc9hc9yta82a8.webp,0.0573,0
test_gen/gen_01jr1etgaafbqvdka5y6x3qetx_task_01jr1er9e7fs1r8cq0nn9cth5t.webp,1.0000,1
test_gen/gen_01jr1n0qgve4facjgas1y1kez8_task_01jr1mwshtesps4fyry80tyrza.webp,0.5874,1
test_gen/gen_01jr1tj5dxf2wbd234vp2wb093_task_01jr1tg62venntpsxkxfw9nt6d.webp,0.9398,1
test_gen/gen_01jr2evse3f69a6phgx60g5xq0_task_01jr2ervp1fpqrm1dmtsdcrssm.webp,0.5747,1
test_gen/gen_01jr2m9xyrefcv28xws5pctfkt_task_01jr2m73xffv0rxfgkh9gnxbf2.webp,0.9996,1
test_gen/gen_01jr2qcpx0ea7afxmp7jdmfxfy_task_01jr2q9pqzeeqvn4b5wa30e6an.webp,0.0731,0
test_gen/gen_01jr374z4gf96arnf1fgw5e2vp_task_01jr37224hfeybhv74f0gdc1p9.webp,0.9888,1
test_gen/gen_01jr3jqes3f5mbm4p3hhnqka5k_task_01jr3jkxt1ftntytc57xhe0wjj.webp,0.9978,1
test_gen/gen_01jr3t4crgfm0trjpbc1cz4q44_task_01jr3t0679evyse4ypnp59q8rt.webp,0.9973,1
test_gen/gen_01jr3y89mbej6b936vjt0jb78b_task_01jr3y4t73ec4sr3fz8z760avj.webp,0.1312,0
test_gen/gen_01jr6mbgchedtaf2fn3792mqtr_task_01jr6m8jyje23s72q93afr5ye8.webp,0.2943,0
test_gen/gen_01jr6pnw41ewp90f3ys8pgaf0r_task_01jr6pk37pf55r2gv2p423dwzx.webp,0.9987,1
test_gen/gen_01jr70q0grf9qv9ehrhwnnhxxn_task_01jr70n17jfnvszzc9v6d00cf9.webp,0.9776,1
test_gen/gen_01jr7n3e98fas9zzf7gzay790m_task_01jr7n2axsea19mz80tr1hbh9g.webp,0.9977,1
test_gen/gen_01jr8q23b4fp7vy8f51n7ctkd7_task_01jr8pzry3fpcbr178rhcj7bck.webp,0.9813,1
test_gen/gen_01jr98we5mfhsbgc926be6xz2c_task_01jr98vgmsfbav5ywv0gym07pd.webp,0.8987,1
test_gen/gen_01jr9yzphdea2r888f84pc5njn_task_01jr9yye7ffve9w2hbpc0v8n6r.webp,0.9887,1
test_gen/gen_01jrb66f3pe8atfzc4xwqzef5d_task_01jrb62zpbegybtpbcy0an40a9.webp,0.8093,1
test_gen/gen_01jrb69rjbfb09s1dcd8sm722q_task_01jrb66g19e59v5f5nk6a5cemp.webp,1.0000,1
test_gen/gen_01jrd680e1ftw9qnn5z29bs88d_task_01jrd66m7geqv9dzm6gn3d1d5c.webp,0.9967,1
test_gen/gen_01jrdn3bn5ekjbcysh27yqspvb_task_01jrdmzz8mesqtwsg4n9ewtxhx.webp,0.9496,1
test_gen/gen_01jrdnnxdrf1xrgbmfe41a15mn_task_01jrdnkx9mf0qv5htdb1tt1chy.webp,0.3243,0
test_gen/gen_01jre5gekqfkmrpnmth6s5tgzw_task_01jre5d5esew0b3hdnbxxg9hw3.webp,0.3676,0
test_gen/gen_01jrekyb2heh0twpfnpgwm63d9_task_01jrekvknjep0ah1kz9regtmpd.webp,0.4587,0
test_gen/gen_01jrfe6wghfexvtc0a506d0b0p_task_01jrfe6vreehdrnfnaaf6s5xb0.webp,0.9999,1
test_gen/gen_01jrfha81he2kadb33jspqta51_task_01jrfha6ytfr2vawsea3j2qynv.webp,0.8340,1
test_gen/gen_01jrfz0yx7fx6brmtgb5bqa5py_task_01jrfz0xz3empasd60dtz1c8m3.webp,0.9990,1
test_gen/gen_01jrgbw9n7fd19wvm9vggapdyn_task_01jrgbj6f4ft087v5tefb2dm2a.webp,0.0396,0
test_gen/gen_01jrgff9f1e8ksjzje5wk77ef6_task_01jrgff8y3ewxty3chq640my6a.webp,0.9301,1
test_gen/gen_01jrgyedc0e9bvwr777d08by6y_task_01jrgyecrwes0b4c4ypz40m75y.webp,0.0015,0
test_gen/gen_01jrhxre72e13r238n35rfzw86_task_01jrhxrd98fbsth8qv1h837zrz.webp,0.0755,0
test_gen/gen_01jrhytypre2rbqp6tfht88n0b_task_01jrhytxysf28vbf803bnm6g80.webp,0.9998,1
test_gen/gen_01jrj4vnvqfd8bp7zzpwgrs10x_task_01jrj4vn08ebja7mmygwvwkyms.webp,0.9998,1
test_gen/gen_01jrjp9vakfrgrzh96kqcs727z_task_01jrjp9t7dfara4nm2yn0peeav.webp,0.9597,1
