image_path,prob_synthetic,pred_label
datasets/synthetic/gen_01jp8k2ycmf9a9fecv4a7jwb60_task_01jp8k0f0ner29em8y3d3n9xpa.webp,0.0583,0
datasets/synthetic/gen_01jq7fjp3ff83vmjxcbqvqtfbf_task_01jq7fem7zettvaj8cz7fbc5bf.webp,0.9973,1
datasets/synthetic/gen_01jq7sn5w0eystp5sa41z6x19z_task_01jq7sh389enj89bfkdpy3wd2f.webp,0.3343,0
datasets/synthetic/gen_01jq7vp8sqe42bjxtgryv7z7g5_task_01jq7vaf2veacsahapwghmxvjy.webp,0.9873,1
datasets/synthetic/gen_01jq7xj2h8fm9tx67bpa7aqva9_task_01jq7xe75hewqbgqr8sytv5nza.webp,0.9999,1
datasets/synthetic/gen_01jq87wwrxe9rt1t6ee6b4a1c2_task_01jq87tepde0g8ha7dh9b6404w.webp,0.9796,1
datasets/synthetic/gen_01jq88cdvcfx181qq4zxjvs7xh_task_01jq8891w0fppb0y5j5vwhgr6d.webp,0.0012,0
datasets/synthetic/gen_01jq8bmyb8e7js0v0mg7tf3xzv_task_01jq8bj41hepv8z3j4e7pb2qyw.webp,0.9870,1
datasets/synthetic/gen_01jq8bzqdvenj8fwv4jax3ba56_task_01jq8bxvsnfkds3kj0w6vtyxgy.webp,0.0000,0
datasets/synthetic/gen_01jq8c3knwerat1n1ynmd8xkne_task_01jq8c0qjnfm2tv0x7x75m4n18.webp,0.0805,0
datasets/synthetic/gen_01jq8c554bedd9rzvta8jrcnqw_task_01jq8c2fmrebjb86p22fmfq0m2.webp,0.8884,1
datasets/synthetic/gen_01jq8fdxa0ev8t3d7re39y9yw0_task_01jq8fav89f1d9sc661q55pp4v.webp,0.0945,0
datasets/synthetic/gen_01jq8s5zgket7vabe5dx2jtg8z_task_01jq8s2rs4ezctb5y5vw7c0qkr.webp,0.9854,1
datasets/synthetic/gen_01jq989gxafj393358pvgs0zw7_task_01jq984y02fcp8ea4gbf0fkrtz.webp,0.4057,0
datasets/synthetic/gen_01jq9bqaaaew2t73zs7mh36h51_task_01jq9bjs5xe9b9tfvry6wjb0jz.webp,0.9987,1
datasets/synthetic/gen_01jq9fkjzmfh5sb78r3wryrxy5_task_01jq9fcvtefsg8btypa2j8xn83.webp,0.8489,1
datasets/synthetic/gen_01jq9hahjff62bv6we2sda34jq_task_01jq9h56feea887sdg40xr5m8p.webp,0.0569,0
datasets/synthetic/gen_01jq9jmf3ffm6rxnwkx9wedvvb_task_01jq9jgaaqfy4arm1b7pjafgq7.webp,0.1440,0
datasets/synthetic/gen_01jq9zgng7f7jts8hzqfkm6ms1_task_01jq9zcj1cf7n84xd7f4pmaqnn.webp,0.0807,0
datasets/synthetic/gen_01jqa6berbfbvbadbx39fkbsev_task_01jqa68az3ebgaq21qkqs0rgd5.webp,0.5947,1
datasets/synthetic/gen_01jqa6k62deh2a1zef7b4wjn2v_task_01jqa6g8nqfwyvhqpz0gpxjn8m.webp,0.4163,0
datasets/synthetic/gen_01jqab7qebfs0szkqckrtm6k9r_task_01jqab3s7gehtb96wc7zga7aht.webp,1.0000,1
datasets/synthetic/gen_01jqamabdgfcf9tx81s7tkgb3b_task_01jqam55smf0d90tgd00ftm3bt.webp,0.9967,1
datasets/synthetic/gen_01jqb76zwve63t8s821cv5dy63_task_01jqb72jfbfhs8ncjfgjrkvv7s.webp,1.0000,1
datasets/synthetic/gen_01jqb8d52gegc8pwv576tgp3mv_task_01jqb89bejfrsbjzfgm7rew0aa.webp,0.0014,0
datasets/synthetic/gen_01jqbgy6zfexjbew9j1qsxap81_task_01jqbge3wrfvwr6kkrph09gcx0.webp,0.8900,1
datasets/synthetic/gen_01jqbn20dtf9x8xhcrvsaqt1wg_task_01jqbmhbq7enqs67xg6vc944z0.webp,0.0092,0
datasets/synthetic/gen_01jqc1nynwewq970kvp6amsm44_task_01jqc17ynxfj3991e1grc5zc9x.webp,0.9580,1
datasets/synthetic/gen_01jqc5arpbe69vndqhvttbp83j_task_01jqc4ny42egaaw8fs4y1e8088.webp,0.8578,1
datasets/synthetic/gen_01jqch4wseeskb8h9g38y8ea6c_task_01jqcgzs4qe70tmqqanwtnyw9p.webp,0.0000,0
datasets/synthetic/gen_01jqchzqmqfpea2yc339eem9bw_task_01jqchw7yye2q9ppwh5qtsthde.webp,0.0456,0
datasets/synthetic/gen_01jqcm8mawesgs95vtb2s7dwcn_task_01jqckmrvge8z9tz7jx8gjsfyg.webp,0.9290,1
datasets/synthetic/gen_01jqcqr9ndenmbx91ded811qpr_task_01jqcq3d02ep08j2xd5revdj84.webp,0.0062,0
datasets/synthetic/gen_01jqcx7ftgfg1bq8xax5hqxrw4_task_01jqcwtaeceydr8xsyt8vewrpp.webp,0.9966,1
datasets/synthetic/gen_01jqd0xey2egesxj8n0m41c7zf_task_01jqd0rn26frk954tm46fqecgx.webp,0.2067,0
datasets/synthetic/gen_01jqd4paz9ejf9r8x5350et8ef_task_01jqd4j5t0ebs9y7drvbk8nb1c.webp,0.0075,0
datasets/synthetic/gen_01jqdqakr8f9faa63yw6pcv0mz_task_01jqdq6cpvfxsbmedbx61nj8je.webp,0.0004,0
datasets/synthetic/gen_01jqdqe7vbet7afh3bp5t1srq0_task_01jqdqaya0etktk27ycy2c40p1.webp,0.9993,1
datasets/synthetic/gen_01jqdr10tff99tjr7bb1h4geey_task_01jqdqwh2jfs3807x4x1nkt5vx.webp,0.3212,0
datasets/synthetic/gen_01jqdv6nyde1d86wpjnrgknsj4_task_01jqdv5602fcb8bgrxspp8n1sd.webp,0.0000,0
datasets/synthetic/gen_01jqe3n3f2fqkb36fhqmgasc8b_task_01jqe2a6z9egg91vhbf5jqbnfs.webp,0.9873,1
datasets/synthetic/gen_01jqenc0etf3xbshctp31fw7pp_task_01jqemyay2e5083kw0ppjw3j28.webp,0.7517,1
datasets/synthetic/gen_01jqepx19we33vqcxkae7fnfgs_task_01jqepjyqve089n877fjf9yhbh.webp,0.1996,0
datasets/synthetic/gen_01jqetwqh8f59ayg0hx95wy0be_task_01jqer3ammejkanfbxz7y0d68p.webp,0.9512,1
datasets/synthetic/gen_01jqfccdxrf0s8ffgc0xayg6en_task_01jqfc89c6fjb89ee3z7qmfspb.webp,0.0005,0
datasets/synthetic/gen_01jqfe2s9dfzdb4129betjpw62_task_01jqfdt8fwet5vrfmv2w91ftv4.webp,0.0225,0
datasets/synthetic/gen_01jqfejtfafzqsnqrvs7xxvjks_task_01jqfee5tfe17ts8d3xbfy7snj.webp,1.0000,1
datasets/synthetic/gen_01jqfh93fxf5v8bmv4yy011mh5_task_01jqfh4k7eedp9dtj3rky6vd5d.webp,0.9994,1
datasets/synthetic/gen_01jqfhx3sgfk49txkngz92ysy0_task_01jqfhs3agfbkrtbffqz409q3a.webp,0.9811,1
datasets/synthetic/gen_01jqgaf196fdwbdjw1agne8jya_task_01jqgacb3ze1z9w5tfwber5vj1.webp,0.8797,1
datasets/synthetic/gen_01jqgbfmfvfsxs8yfsyjmnd5vt_task_01jqgbbvm0eswrd2b71v32ww7y.webp,0.9942,1
datasets/synthetic/gen_01jqgcyy9zfwn93045eh4ev585_task_01jqgcv13rfqjs06pek3q2cqdj.webp,0.0162,0
datasets/synthetic/gen_01jqgnxcqxe389r8az1wt4rbc3_task_01jqgnv85nftjtwrcbyg6rsp2h.webp,0.8786,1
datasets/synthetic/gen_01jqh9mjn7erz9vp36t3hrvzdb_task_01jqh9evk5f71a257x92wrsyt9.webp,0.9967,1
datasets/synthetic/gen_01jqha6vrge3hbhvcxt7z92ta3_task_01jqha0c2cew6t51ffchpteq54.webp,0.9992,1
datasets/synthetic/gen_01jqhegw5weekbh4nwbvr4485z_task_01jqhe3qfpetwv5bqydaxvxz1h.webp,0.1185,0
datasets/synthetic/gen_01jqhftww2fk7vsmxff0t2bn4m_task_01jqhfpn4ce1grfaarcpj2gyz9.webp,0.9925,1
